color	name	finish	rgb	from_year	to_year
0	(Not Applicable)	N/A	\N	1954	2013
41	Aqua	Solid	b5d3d6	1998	2006
11	Black	Solid	212121	1957	2013
7	Blue	Solid	0057a6	1950	2013
97	Blue-Violet	Solid	506cef	2004	2005
36	Bright Green	Solid	10cb31	1950	2013
105	Bright Light Blue	Solid	9fc3e9	2004	2013
110	Bright Light Orange	Solid	f7ba30	2000	2013
103	Bright Light Yellow	Solid	f3e055	2004	2013
104	Bright Pink	Solid	ffbbff	2003	2013
8	Brown	Solid	532115	1974	2006
153	Dark Azure	Solid	3399ff	2011	2013
63	Dark Blue	Solid	143044	1961	2013
109	Dark Blue-Violet	Solid	2032b0	2004	2006
85	Dark Bluish Gray	Solid	595d60	1991	2013
120	Dark Brown	Solid	330000	2008	2013
91	Dark Flesh	Solid	774125	2004	2006
10	Dark Gray	Solid	6b5a5a	1961	2007
80	Dark Green	Solid	2e5543	1961	2013
68	Dark Orange	Solid	b35408	1979	2013
47	Dark Pink	Solid	c87080	1994	2013
89	Dark Purple	Solid	5f2683	2003	2013
59	Dark Red	Solid	6a0e15	1961	2013
69	Dark Tan	Solid	907450	1961	2013
39	Dark Turquoise	Solid	008a80	1998	2005
29	Earth Orange	Solid	e6881d	1982	2008
106	Fabuland Brown	Solid	b3694e	1979	1997
160	Fabuland Orange	Solid	ef9121	\N	\N
28	Flesh	Solid	cc8062	1979	2012
6	Green	Solid	00642e	1950	2013
154	Lavender	Solid	cba2c8	2011	2013
152	Light Aqua	Solid	ccffff	2011	2013
62	Light Blue	Solid	b4d2e3	1950	2007
86	Light Bluish Gray	Solid	afb5c7	1993	2013
90	Light Flesh	Solid	feccb0	2003	2013
9	Light Gray	Solid	9c9c9c	1954	2008
38	Light Green	Solid	a5dbb5	1992	2007
35	Light Lime	Solid	ebee8f	1992	2007
32	Light Orange	Solid	f7ad63	1998	2006
56	Light Pink	Solid	ffe1ff	1994	2007
93	Light Purple	Solid	da70d6	2004	2007
26	Light Salmon	Solid	ffdedc	1997	2004
40	Light Turquoise	Solid	31b5ca	1998	2004
44	Light Violet	Solid	c9cae2	1994	2005
33	Light Yellow	Solid	ffe383	1994	2013
34	Lime	Solid	a6ca55	1982	2013
72	Maersk Blue	Solid	6badd6	1974	2011
71	Magenta	Solid	b52952	2000	2013
156	Medium Azure	Solid	42c0fb	2012	2013
42	Medium Blue	Solid	61afff	1950	2013
150	Medium Dark Flesh	Solid	e78b3e	2010	2013
94	Medium Dark Pink	Solid	f785b1	1992	1996
37	Medium Green	Solid	62f58e	1950	2004
157	Medium Lavender	Solid	b5a5d5	2012	2013
76	Medium Lime	Solid	bdc618	1998	2012
